No,Attributes
15913,word[-3:]:OLY
15914,+1:word.lower():cats
15915,word.lower():cats
15916,-1:word.lower():tonymoly
15917,+1:word.lower():wink
15918,word.lower():wink
15919,-1:word.lower():cats
15920,-1:word.lower():wink
15921,+1:word.lower():pact
15922,word.lower():pact
15923,+1:word.lower():11g
15924,word.lower():11g
15925,word[-3:]:11g
15926,word[-2:]:1g
15927,word[:3]:11g
15928,-1:word.lower():pact
15929,word.lower():nescaf
15930,word[-3:]:CAF
15931,word[-2:]:AF
15932,word[:3]:NES
15933,+1:word.lower():dolce
15934,word.lower():dolce
15935,word[-3:]:lce
15936,-1:word.lower():nescaf
15937,+1:word.lower():gusto
15938,word.lower():gusto
15939,word[-3:]:sto
15940,word[:3]:Gus
15941,-1:word.lower():dolce
15942,-1:word.lower():gusto
15943,+1:word.lower():kimono
15944,word.lower():kimono
15945,-1:word.lower():kimono
15946,-1:word.lower():handuk
15947,word[:3]:Raj
15948,-1:word.lower():random
15949,word[-3:]:ESK
15950,+1:word.lower():fan
15951,word.lower():fan
15952,word[-3:]:FAN
15953,word[:3]:FAN
15954,+1:word.lower():sogo
15955,word.lower():sogo
15956,word[:3]:SOG
15957,-1:word.lower():fan
15958,word[-3:]:MAT
15959,word[:3]:HEM
15960,-1:word.lower():sogo
15961,+1:word.lower():daya
15962,word.lower():daya
15963,word[:3]:DAY
15964,+1:word.lower():12inch
15965,word.lower():12inch
15966,word[:3]:12i
15967,-1:word.lower():daya
15968,word.lower():victoria
15969,word[:3]:Vic
15970,-1:word.lower():victoria
15971,+1:word.lower():spell
15972,word.lower():spell
15973,-1:word.lower():spell
15974,+1:word.lower():mist
15975,word.lower():mist
15976,word[:3]:Mis
15977,+1:word.lower():250ml
15978,word.lower():250ml
15979,-1:word.lower():mist
15980,-1:word.lower():250ml
15981,word.lower():sapu
15982,word[-3:]:APU
15983,word[:3]:SAP
15984,word[-3:]:ERN
15985,-1:word.lower():sapu
15986,+1:word.lower():broom
15987,word.lower():broom
15988,word[-3:]:OOM
15989,-1:word.lower():broom
15990,word[-3:]:NGU
15991,word[-2:]:GU
15992,word[:3]:UNG
15993,word.lower():senter
15994,+1:word.lower():ultrafire
15995,word.lower():ultrafire
15996,word[:3]:ult
15997,-1:word.lower():senter
15998,+1:word.lower():rst-s15
15999,word.lower():rst-s15
16000,word[-3:]:s15
16001,word[:3]:RST
16002,-1:word.lower():ultrafire
16003,+1:word.lower():antigores
16004,word.lower():antigores
16005,-1:word.lower():antigores
16006,+1:word.lower():camping
16007,+1:word.lower():lentera
16008,word.lower():lentera
16009,+1:word.lower():tarik
16010,word.lower():tarik
16011,word[:3]:Tar
16012,-1:word.lower():lentera
16013,-1:word.lower():tarik
16014,+1:word.lower():30pin
16015,word.lower():30pin
16016,word[-3:]:pin
16017,word[:3]:30p
16018,-1:word.lower():30pin
16019,+1:word.lower():1m
16020,word.lower():1m
16021,word[-3:]:1m
16022,word[-2:]:1m
16023,word[:3]:1m
16024,+1:word.lower():(compatible)
16025,word.lower():(compatible)
16026,word[-3:]:le)
16027,word[-2:]:e)
16028,-1:word.lower():1m
16029,-1:word.lower():(compatible)
16030,word.lower():9042
16031,word[-3:]:042
16032,word[-2:]:42
16033,word[:3]:904
16034,-1:word.lower():9042
16035,+1:word.lower():tepi
16036,word.lower():tepi
16037,word[-3:]:EPI
16038,word[-2:]:PI
16039,word[:3]:TEP
16040,+1:word.lower():sulur
16041,word.lower():sulur
16042,word[-3:]:LUR
16043,word[:3]:SUL
16044,-1:word.lower():tepi
16045,+1:word.lower():katundobby
16046,word.lower():katundobby
16047,word[-3:]:BBY
16048,-1:word.lower():sulur
16049,word.lower():pintar
16050,+1:word.lower():paud
16051,word.lower():paud
16052,word[-3:]:aud
16053,-1:word.lower():pintar
16054,+1:word.lower():pandai
16055,word.lower():pandai
16056,word[-3:]:dai
16057,-1:word.lower():paud
16058,+1:word.lower():mengeja
16059,word.lower():mengeja
16060,-1:word.lower():pandai
16061,word[:3]:BEN
16062,-1:word.lower():bening
16063,+1:word.lower():yard
16064,word.lower():yard
16065,word[:3]:YAR
16066,-1:word.lower():yard
16067,word[-3:]:NCH
16068,word[:3]:INC
16069,word[-3:]:6S
16070,word[:3]:6S
16071,word[:2]:6S
16072,word[-3:]:OOK
16073,word[:3]:NOT
16074,+1:word.lower():cyclone
16075,word.lower():cyclone
16076,word[:3]:CYC
16077,word[:2]:CY
16078,-1:word.lower():cyclone
16079,+1:word.lower():(tipe
16080,word.lower():(tipe
16081,word[:3]:(TI
16082,word[:2]:(T
16083,+1:word.lower():hisap)
16084,word.lower():hisap)
16085,word[-3:]:AP)
16086,word[-2:]:P)
16087,word[:3]:HIS
16088,-1:word.lower():(tipe
16089,+1:word.lower():bocor
16090,word.lower():bocor
16091,word[:3]:Boc
16092,-1:word.lower():bocor
16093,word.lower():skiphop
16094,word[-3:]:Hop
16095,+1:word.lower():zoo
16096,word.lower():zoo
16097,word[-3:]:Zoo
16098,word[:3]:Zoo
16099,-1:word.lower():skiphop
16100,+1:word.lower():straw
16101,word.lower():straw
16102,word[-3:]:raw
16103,word[-2:]:aw
16104,-1:word.lower():zoo
16105,-1:word.lower():straw
16106,word[:3]:SPI
16107,+1:word.lower():sgp
16108,word[-3:]:MOR
16109,+1:word.lower():s5360
16110,word.lower():s5360
16111,word[:3]:S53
16112,+1:word.lower():vizz
16113,word.lower():vizz
16114,word[-3:]:IZZ
16115,word[-2:]:ZZ
16116,word[:3]:VIZ
16117,-1:word.lower():s5360
16118,+1:word.lower():2700mah
16119,word.lower():2700mah
16120,word[-3:]:MAH
16121,word[:3]:270
16122,word[:2]:27
16123,-1:word.lower():vizz
16124,word[-3:]:ERY
16125,-1:word.lower():2700mah
16126,word[:3]:DOU
16127,word.lower():bedding
16128,-1:word.lower():bedding
16129,+1:word.lower():queen
16130,word.lower():queen
16131,word[:3]:Que
16132,-1:word.lower():queen
16133,+1:word.lower():flexible
16134,word.lower():flexible
16135,+1:word.lower():plasma
16136,word.lower():plasma
16137,word[-3:]:sma
16138,-1:word.lower():flexible
16139,+1:word.lower():drl
16140,word.lower():drl
16141,word[-3:]:DRL
16142,word[:3]:DRL
16143,-1:word.lower():plasma
16144,+1:word.lower():audi
16145,word.lower():audi
16146,word[-3:]:udi
16147,-1:word.lower():drl
16148,-1:word.lower():audi
16149,+1:word.lower():85cm
16150,word.lower():85cm
16151,word[:3]:85c
16152,word.lower():jumping
16153,+1:word.lower():beans
16154,word.lower():beans
16155,-1:word.lower():jumping
16156,-1:word.lower():beans
16157,+1:word.lower():jb5
16158,word.lower():jb5
16159,word[-3:]:JB5
16160,word[:3]:JB5
16161,-1:word.lower():jb5
16162,word[:3]:Usi
16163,-1:word.lower():cowok
16164,+1:word.lower():1-6
16165,word.lower():1-6
16166,word[-3:]:1-6
16167,+1:word.lower():thn
16168,word.lower():thn
16169,word[:3]:thn
16170,-1:word.lower():1-6
16171,+1:word.lower():/bahan
16172,word.lower():/bahan
16173,word[:3]:/Ba
16174,-1:word.lower():thn
16175,-1:word.lower():/bahan
16176,+1:word.lower():klub
16177,word.lower():klub
16178,word[-3:]:lub
16179,word[-2:]:ub
16180,word[:3]:Klu
16181,+1:word.lower():2014/2015
16182,word.lower():2014/2015
16183,-1:word.lower():klub
16184,-1:word.lower():2014/2015
16185,+1:word.lower():dried
16186,word.lower():dried
16187,word[-3:]:ied
16188,+1:word.lower():cranberry
16189,word.lower():cranberry
16190,-1:word.lower():dried
16191,-1:word.lower():cranberry
16192,-1:word.lower():figure
16193,+1:word.lower():wars
16194,word.lower():wars
16195,+1:word.lower():obi
16196,word.lower():obi
16197,word[-3:]:Obi
16198,word[:3]:Obi
16199,-1:word.lower():wars
16200,+1:word.lower():wan
16201,word.lower():wan
16202,word[-3:]:Wan
16203,-1:word.lower():obi
16204,+1:word.lower():kenobi
16205,word.lower():kenobi
16206,word[-3:]:obi
16207,-1:word.lower():wan
16208,+1:word.lower():outlander
16209,word.lower():outlander
16210,-1:word.lower():kenobi
16211,+1:word.lower():nightclub
16212,word.lower():nightclub
16213,-1:word.lower():outlander
16214,+1:word.lower():encounter
16215,word.lower():encounter
16216,word[:3]:Enc
16217,-1:word.lower():nightclub
16218,-1:word.lower():encounter
16219,+1:word.lower():habsro
16220,word.lower():habsro
16221,word[-3:]:sro
16222,word[:3]:Hab
16223,word[-3:]:OSS
16224,+1:word.lower():q2
16225,word.lower():q2
16226,word[-3:]:Q2
16227,word[-2:]:Q2
16228,word[:3]:Q2
16229,word[:2]:Q2
16230,word.lower():obeng
16231,word[:3]:Obe
16232,-1:word.lower():obeng
16233,+1:word.lower():screwdriver
16234,word.lower():screwdriver
16235,+1:word.lower():handphone
16236,word.lower():handphone
16237,-1:word.lower():screwdriver
16238,+1:word.lower():elektronik
16239,word.lower():elektronik
16240,-1:word.lower():handphone
16241,-1:word.lower():elektronik
16242,+1:word.lower():nuclear
16243,word.lower():nuclear
16244,word[:3]:Nuc
16245,-1:word.lower():nuclear
16246,+1:word.lower():2x
16247,word.lower():2x
16248,word[-3:]:2x
16249,word[-2:]:2x
16250,word[:3]:2x
16251,word[:2]:2x
16252,+1:word.lower():(
16253,word.lower():(
16254,word[-3:]:(
16255,word[-2:]:(
16256,word[:3]:(
16257,word[:2]:(
16258,-1:word.lower():2x
16259,-1:word.lower():(
16260,+1:word.lower():)
16261,word.lower():)
16262,word[-3:]:)
16263,word[-2:]:)
16264,word[:3]:)
16265,word[:2]:)
16266,+1:word.lower():spicy
16267,word.lower():spicy
16268,word[-3:]:icy
16269,-1:word.lower():)
16270,word.lower():revlon
16271,word[:3]:Rev
16272,+1:word.lower():colorstay
16273,word.lower():colorstay
16274,-1:word.lower():revlon
16275,+1:word.lower():ultimate
16276,-1:word.lower():colorstay
16277,+1:word.lower():suede
16278,word.lower():suede
16279,word[-3:]:ede
16280,+1:word.lower():lipstick
16281,word.lower():lipstick
16282,-1:word.lower():suede
16283,+1:word.lower():sambungan
16284,word.lower():sambungan
16285,-1:word.lower():sambungan
16286,"+1:word.lower():(microusb,"
16287,"word.lower():(microusb,"
16288,"word[-3:]:SB,"
16289,"word[-2:]:B,"
16290,word[:3]:(Mi
16291,word[:2]:(M
16292,"+1:word.lower():miniusb,"
16293,"word.lower():miniusb,"
16294,"-1:word.lower():(microusb,"
16295,+1:word.lower():p1000
16296,word.lower():p1000
16297,word[:3]:P10
16298,word[:2]:P1
16299,"-1:word.lower():miniusb,"
16300,+1:word.lower():ipad)
16301,word.lower():ipad)
16302,word[-3:]:ad)
16303,word[-2:]:d)
16304,-1:word.lower():p1000
16305,+1:word.lower():enak
16306,word.lower():enak
16307,word[:3]:Ena
16308,+1:word.lower():khas
16309,word.lower():khas
16310,word[-3:]:has
16311,word[:3]:Kha
16312,-1:word.lower():enak
16313,-1:word.lower():khas
16314,"+1:word.lower():bali,"
16315,"word.lower():bali,"
16316,"word[-3:]:li,"
16317,"word[-2:]:i,"
16318,+1:word.lower():ole
16319,word.lower():ole
16320,word[-3:]:Ole
16321,word[:3]:Ole
16322,"-1:word.lower():bali,"
16323,-1:word.lower():ole
16324,word.lower():selimut
16325,word[-3:]:mut
16326,+1:word.lower():150x240
16327,word.lower():150x240
16328,word[-3:]:240
16329,-1:word.lower():selimut
16330,-1:word.lower():150x240
16331,+1:word.lower():sjz
16332,word.lower():sjz
16333,word[-3:]:Sjz
16334,word[-2:]:jz
16335,word[:3]:Sjz
16336,+1:word.lower():sj50122685
16337,word.lower():sj50122685
16338,word[-3:]:685
16339,-1:word.lower():sjz
16340,+1:word.lower():128
16341,word.lower():128
16342,word[-3:]:128
16343,-1:word.lower():128
16344,+1:word.lower():deposit
16345,word.lower():deposit
16346,word[-3:]:sit
16347,-1:word.lower():deposit
16348,+1:postag:PR
16349,-1:word.lower():book
16350,+1:word.lower():brangkas
16351,word.lower():brangkas
16352,-1:word.lower():brangkas
16353,+1:word.lower():azwa
16354,word.lower():azwa
16355,word[-3:]:zwa
16356,word[:3]:azw
16357,word[:2]:az
16358,-1:word.lower():azwa
16359,+1:word.lower():madu
16360,+1:word.lower():murni
16361,word.lower():murni
16362,+1:word.lower():970m</enamex>/
16363,word.lower():970m</enamex>/
16364,word[-3:]:X>/
16365,word[-2:]:>/
16366,word[:3]:970
16367,-1:word.lower():970m</enamex>/
16368,+1:word.lower():17.3
16369,word.lower():17.3
16370,word[-3:]:7.3
16371,word[-2:]:.3
16372,word[:3]:17.
16373,"+1:word.lower():""/"
16374,"word.lower():""/"
16375,"word[-3:]:""/"
16376,"word[-2:]:""/"
16377,"word[:3]:""/"
16378,"word[:2]:""/"
16379,-1:word.lower():17.3
16380,"-1:word.lower():""/"
16381,"+1:word.lower():)"""
16382,"word.lower():)"""
16383,"word[-3:]:)"""
16384,"word[-2:]:)"""
16385,"word[:3]:)"""
16386,"word[:2]:)"""
16387,-1:word.lower():win10
16388,word[-3:]:IKE
16389,word[-3:]:OGA
16390,word[:3]:YOG
16391,+1:word.lower():3mm
16392,word.lower():3mm
16393,word[-3:]:3MM
16394,word[-2:]:MM
16395,word[:3]:3MM
16396,word[:2]:3M
16397,+1:word.lower():at/dat
16398,word.lower():at/dat
16399,word[-3:]:DAT
16400,word[:3]:AT/
16401,-1:word.lower():3mm
16402,+1:word.lower():n.ye.02.339.o
16403,word.lower():n.ye.02.339.o
16404,word[-3:]:9.O
16405,word[-2:]:.O
16406,word[:3]:N.Y
16407,word[:2]:N.
16408,-1:word.lower():at/dat
16409,word[-3:]:JAU
16410,-1:word.lower():n.ye.02.339.o
16411,+1:word.lower():arofah
16412,word.lower():arofah
16413,word[-3:]:fah
16414,word[:3]:Aro
16415,-1:word.lower():zaitun
16416,word.lower():uno
16417,word[-3:]:Uno
16418,word[:3]:Uno
16419,+1:word.lower():filling
16420,word.lower():filling
16421,-1:word.lower():uno
16422,+1:word.lower():cabinet
16423,word.lower():cabinet
16424,-1:word.lower():filling
16425,-1:word.lower():cabinet
16426,+1:word.lower():lock
16427,word.lower():lock
16428,+1:word.lower():ufl
16429,word.lower():ufl
16430,word[-3:]:UFL
16431,word[-2:]:FL
16432,word[:3]:UFL
16433,word[:2]:UF
16434,-1:word.lower():lock
16435,+1:word.lower():4252
16436,word.lower():4252
16437,word[-3:]:252
16438,word[:3]:425
16439,-1:word.lower():ufl
16440,-1:word.lower():4252
16441,word.lower():l-men
16442,word[:3]:L-M
16443,word[:2]:L-
16444,+1:word.lower():hi
16445,word.lower():hi
16446,word[-3:]:Hi
16447,word[-2:]:Hi
16448,word[:3]:Hi
16449,-1:word.lower():l-men
16450,-1:word.lower():hi
16451,+1:word.lower():g
16452,word.lower():g
16453,word[-3:]:g
16454,word[-2:]:g
16455,word[:3]:g
16456,word[:2]:g
16457,+1:word.lower():bor
16458,word.lower():bor
16459,word[-3:]:BOR
16460,word[:3]:BOR
16461,-1:word.lower():bor
16462,+1:word.lower():bitec
16463,word.lower():bitec
16464,word[:3]:Bit
16465,-1:word.lower():bitec
16466,word[-3:]:Bor
16467,+1:word.lower():purpose
16468,word.lower():purpose
16469,-1:word.lower():purpose
16470,+1:word.lower():mm
16471,word.lower():mm
16472,word[-3:]:mm
16473,word[:3]:mm
16474,word[:2]:mm
16475,word[-3:]:u
16476,word[-2:]:u
16477,word[:3]:u
16478,word[:2]:u
16479,-1:word.lower():mm
16480,+1:word.lower():tembok
16481,word.lower():tembok
16482,+1:word.lower():keramik
16483,word.lower():keramik
16484,word[-3:]:mik
16485,-1:word.lower():tembok
16486,-1:word.lower():keramik
16487,+1:word.lower():tajima
16488,word.lower():tajima
16489,word[:3]:TAJ
16490,word[-3:]:LOG
16491,-1:word.lower():tajima
16492,word[:3]:DIG
16493,+1:word.lower():scq3613
16494,word.lower():scq3613
16495,word[-3:]:613
16496,word[:3]:SCQ
16497,-1:word.lower():scq3613
16498,word[-3:]:RGE
16499,word[:3]:CHA
16500,+1:word.lower():aa
16501,word.lower():aa
16502,word[-3:]:AA
16503,word[-2:]:AA
16504,word[:3]:AA
16505,word[:2]:AA
16506,-1:word.lower():aa
16507,word[:3]:DIN
16508,+1:word.lower():14500
16509,word.lower():14500
16510,word[:3]:145
16511,+1:word.lower():batere
16512,word.lower():batere
16513,-1:word.lower():14500
16514,+1:word.lower():cas
16515,word.lower():cas
16516,word[-3:]:CAS
16517,-1:word.lower():batere
16518,+1:word.lower():rechargeable
16519,word.lower():rechargeable
16520,word[:3]:REC
16521,-1:word.lower():cas
16522,word[-3:]:OLT
16523,+1:word.lower():aquila
16524,word.lower():aquila
16525,-1:word.lower():aquila
16526,+1:word.lower():mi-f
16527,word.lower():mi-f
16528,word[-3:]:i-F
16529,word[-2:]:-F
16530,word[:3]:Mi-
16531,-1:word.lower():mi-f
16532,+1:word.lower():ltei
16533,word.lower():ltei
16534,word[-3:]:TEi
16535,word[-2:]:Ei
16536,word[:3]:LTE
16537,-1:word.lower():ltei
16538,+1:word.lower():kuota
16539,word.lower():kuota
16540,word[:3]:Kuo
16541,-1:word.lower():kuota
16542,+1:word.lower():mete
16543,word.lower():mete
16544,+1:word.lower():goreng
16545,word.lower():goreng
16546,-1:word.lower():mete
16547,-1:word.lower():goreng
16548,word[-3:]:KG
16549,word[:3]:KG
16550,word[:2]:KG
16551,word.lower():lan
16552,word[:3]:LAN
16553,-1:word.lower():lan
16554,+1:word.lower():test
16555,word.lower():test
16556,-1:word.lower():test
16557,+1:word.lower():jaringan
16558,word.lower():jaringan
16559,+1:word.lower():komputer
16560,word.lower():komputer
16561,-1:word.lower():jaringan
16562,word.lower():seblak
16563,word[:3]:Seb
16564,+1:word.lower():basah
16565,word.lower():basah
16566,-1:word.lower():seblak
16567,-1:word.lower():basah
16568,+1:word.lower():mommy
16569,word.lower():mommy
16570,word[:3]:Mom
16571,-1:word.lower():mommy
16572,word.lower():transform
16573,word[:3]:rob
16574,-1:word.lower():transform
16575,+1:word.lower():make
16576,+1:word.lower():robocar
16577,word.lower():robocar
16578,+1:word.lower():poli
16579,word.lower():poli
16580,-1:word.lower():robocar
16581,+1:word.lower():children's
16582,word.lower():children's
16583,-1:word.lower():poli
16584,+1:word.lower():gifts
16585,word.lower():gifts
16586,word[-3:]:fts
16587,word[:3]:gif
16588,-1:word.lower():children's
16589,+1:word.lower():character
16590,word.lower():character
16591,-1:word.lower():gifts
16592,word[:3]:toy
16593,-1:word.lower():character
16594,+1:word.lower():birthday
16595,word.lower():birthday
16596,-1:word.lower():birthday
16597,word.lower():metzeler
16598,word[-3:]:ME
16599,word[:3]:ME
16600,-1:word.lower():metzeler
16601,+1:word.lower():teen
16602,word.lower():teen
16603,-1:word.lower():teen
16604,+1:word.lower():140/60
16605,word.lower():140/60
16606,word[-3:]:/60
16607,-1:word.lower():140/60
16608,+1:word.lower():r13
16609,word.lower():r13
16610,word[-3:]:R13
16611,word[:3]:R13
16612,-1:word.lower():r13
16613,word.lower():yingmei
16614,word[:3]:YIN
16615,word[:2]:YI
16616,+1:word.lower():beijing
16617,word.lower():beijing
16618,word[:3]:Bei
16619,-1:word.lower():yingmei
16620,-1:word.lower():beijing
16621,+1:word.lower():street
16622,word.lower():street
16623,+1:word.lower():chic
16624,word.lower():chic
16625,-1:word.lower():street
16626,-1:word.lower():chic
16627,word[-3:]:And
16628,+1:word.lower():sneaker
16629,word.lower():sneaker
16630,+1:word.lower():canvas
16631,word.lower():canvas
16632,-1:word.lower():sneaker
16633,-1:word.lower():canvas
16634,+1:word.lower():low-cut
16635,word.lower():low-cut
16636,word[-3:]:cut
16637,-1:word.lower():low-cut
16638,-1:word.lower():sports
16639,+1:word.lower():b0208-21
16640,word.lower():b0208-21
16641,word[-3:]:-21
16642,word[:3]:B02
16643,word[:2]:B0
16644,-1:word.lower():b0208-21
16645,-1:word.lower():intl
16646,+1:word.lower():tirai
16647,word.lower():tirai
16648,word[:3]:Tir
16649,+1:word.lower():kamar
16650,word.lower():kamar
16651,word[-3:]:mar
16652,-1:word.lower():tirai
16653,-1:word.lower():kamar
16654,-1:word.lower():mandi
16655,+1:word.lower():peva
16656,word.lower():peva
16657,word[-3:]:eva
16658,word[:3]:Pev
16659,word[:3]:Sud
16660,-1:word.lower():peva
16661,+1:word.lower():dilengkapi
16662,word.lower():dilengkapi
16663,word[:3]:Dil
16664,+1:word.lower():pemgait
16665,word.lower():pemgait
16666,word[-3:]:ait
16667,-1:word.lower():dilengkapi
16668,+1:word.lower():terjamin
16669,word.lower():terjamin
16670,-1:word.lower():pemgait
16671,word.lower():ibanez
16672,word[-3:]:nez
16673,word[:3]:Iba
16674,+1:word.lower():lokal
16675,word.lower():lokal
16676,word[:3]:Lok
16677,-1:word.lower():ibanez
16678,-1:word.lower():lokal
16679,word.lower():lukisan
16680,-1:word.lower():lukisan
16681,+1:word.lower():picasso
16682,word.lower():picasso
16683,word[-3:]:sso
16684,word[-2:]:so
16685,-1:word.lower():picasso
16686,+1:word.lower():lukisanku
16687,word.lower():lukisanku
16688,word[-3:]:nku
16689,+1:word.lower():krisbow
16690,word[:3]:rec
16691,-1:word.lower():rechargeable
16692,word[:3]:eme
16693,+1:word.lower():darurat
16694,word.lower():darurat
16695,word[:3]:dar
16696,-1:word.lower():darurat
16697,+1:word.lower():led/lcd
16698,word.lower():led/lcd
16699,"+1:word.lower():15""-32"""
16700,"word.lower():15""-32"""
16701,"word[-3:]:32"""
16702,"word[:3]:15"""
16703,-1:word.lower():led/lcd
16704,"-1:word.lower():15""-32"""
16705,+1:word.lower():predator
16706,word.lower():predator
16707,+1:word.lower():z35
16708,word.lower():z35
16709,word[-3:]:Z35
16710,word[:3]:Z35
16711,word[:2]:Z3
16712,-1:word.lower():predator
16713,"+1:word.lower():35"""
16714,"word.lower():35"""
16715,"word[-3:]:35"""
16716,"word[:3]:35"""
16717,-1:word.lower():z35
16718,word.lower():playmat
16719,+1:word.lower():pumpee
16720,word.lower():pumpee
16721,word[-3:]:PEE
16722,word[:3]:PUM
16723,-1:word.lower():playmat
16724,word[:3]:CAN
16725,-1:word.lower():pumpee
16726,word[-3:]:POP
16727,word[:3]:POP
16728,+1:word.lower():playmat
16729,word.lower():miss
16730,word[:3]:MIS
16731,+1:word.lower():moter
16732,word.lower():moter
16733,-1:word.lower():miss
16734,+1:word.lower():matcha
16735,word.lower():matcha
16736,word[-3:]:CHA
16737,-1:word.lower():moter
16738,word[-3:]:ILK
16739,word[-2:]:LK
16740,word[:3]:MIL
16741,-1:word.lower():matcha
16742,word[:3]:HAN
16743,+1:word.lower():wax
16744,word.lower():wax
16745,word[-3:]:WAX
16746,word[:3]:WAX
16747,+1:word.lower():loss
16748,word.lower():loss
16749,word[:3]:Los
16750,+1:word.lower():serum
16751,word.lower():serum
16752,-1:word.lower():loss
16753,+1:word.lower():kita
16754,word.lower():kita
16755,-1:word.lower():kita
16756,+1:word.lower():rantau
16757,word.lower():rantau
16758,word.lower():allwin
16759,word[-3:]:uar
16760,word[:3]:Lua
16761,-1:word.lower():allwin
16762,+1:word.lower():ruangan
16763,word.lower():ruangan
16764,word[:3]:Rua
16765,-1:word.lower():ruangan
16766,+1:word.lower():bersepeda
16767,word.lower():bersepeda
16768,-1:word.lower():bersepeda
16769,+1:word.lower():ciffon
16770,word.lower():ciffon
16771,word[-3:]:fon
16772,word[:3]:Cif
16773,-1:word.lower():ciffon
16774,+1:word.lower():ga5279
16775,word.lower():ga5279
16776,word[-3:]:279
16777,word[:3]:GA5
16778,word.lower():aldo
16779,word[-3:]:LDO
16780,word[:3]:ALD
16781,-1:word.lower():aldo
16782,+1:word.lower():t33
16783,word.lower():t33
16784,word[-3:]:T33
16785,+1:word.lower():aldo
16786,-1:word.lower():t33
16787,+1:word.lower():4100mah
16788,word.lower():4100mah
16789,-1:word.lower():4100mah
16790,word[-3:]:IRU
16791,word[:3]:BIR
16792,word.lower():biotin
16793,+1:word.lower():7500
16794,word.lower():7500
16795,-1:word.lower():biotin
16796,+1:word.lower():mbiotin
16797,word.lower():mbiotin
16798,word[:3]:mBi
16799,word[:2]:mB
16800,-1:word.lower():7500
16801,+1:word.lower():7500mcg
16802,word.lower():7500mcg
16803,word[-3:]:mcg
16804,word[-2:]:cg
16805,-1:word.lower():mbiotin
16806,+1:word.lower():puritan's
16807,word.lower():puritan's
16808,-1:word.lower():7500mcg
16809,+1:word.lower():pride
16810,word.lower():pride
16811,-1:word.lower():puritan's
16812,word.lower():duvet
16813,word[:3]:Duv
16814,-1:word.lower():duvet
16815,+1:word.lower():bedlinen
16816,word.lower():bedlinen
16817,word.lower():cover/selimut
16818,-1:word.lower():cover/selimut
16819,+1:word.lower():koraibi
16820,word.lower():koraibi
16821,word[-3:]:ibi
16822,-1:word.lower():koraibi
16823,+1:word.lower():bebek
16824,word.lower():bebek
16825,word[-3:]:bek
16826,-1:word.lower():bebek
16827,+1:word.lower():aroma
16828,word.lower():aroma
16829,+1:word.lower():moka
16830,word.lower():moka
16831,word[-3:]:oka
16832,word[:3]:Mok
16833,-1:word.lower():aroma
16834,+1:word.lower():arabika
16835,word.lower():arabika
16836,-1:word.lower():moka
16837,"+1:word.lower():27"""
16838,"word.lower():27"""
16839,"word[-3:]:27"""
16840,"word[-2:]:7"""
16841,"word[:3]:27"""
16842,+1:word.lower():oximus
16843,word.lower():oximus
16844,word[-3:]:MUS
16845,word[:3]:OXI
16846,word[:2]:OX
16847,"-1:word.lower():27"""
16848,+1:word.lower():lynx-21
16849,word.lower():lynx-21
16850,word[:3]:LYN
16851,word[:2]:LY
16852,-1:word.lower():oximus
16853,+1:word.lower():amazing
16854,word.lower():amazing
16855,+1:word.lower():h
16856,word.lower():h
16857,word[-3:]:H
16858,word[-2:]:H
16859,word[:3]:H
16860,word[:2]:H
16861,-1:word.lower():amazing
16862,+1:word.lower():extreme
16863,word.lower():extreme
16864,-1:word.lower():h
16865,word.lower():cool
16866,word[:3]:COO
16867,+1:word.lower():sugar
16868,word[-3:]:GAR
16869,word[:3]:SUG
16870,-1:word.lower():cool
16871,+1:word.lower():kunci
16872,word.lower():kunci
16873,word[-3:]:nci
16874,word[-2:]:ci
16875,+1:word.lower():thailand
16876,word.lower():thailand
16877,word[:3]:Tha
16878,-1:word.lower():kunci
16879,-1:word.lower():thailand
16880,+1:word.lower():souvenir
16881,word.lower():souvenir
16882,word.lower():cardboard
16883,-1:word.lower():cardboard
16884,+1:word.lower():version
16885,word.lower():version
16886,word[:3]:Ver
16887,-1:word.lower():version
16888,word[-3:]:tv
16889,word[:3]:tv
16890,word[:2]:tv
16891,+1:word.lower():multimax
16892,word.lower():multimax
16893,+1:word.lower():14
16894,word.lower():14
16895,word[-3:]:14
16896,word[:3]:14
16897,-1:word.lower():multimax
16898,-1:word.lower():14
16899,+1:word.lower():w800h-1av
16900,word.lower():w800h-1av
16901,word[-3:]:1AV
16902,word[-2:]:AV
16903,word[:3]:W80
16904,word[:2]:W8
16905,word.lower():dendeng
16906,word[-3:]:ENG
16907,+1:word.lower():ayam
16908,word.lower():ayam
16909,word[-3:]:YAM
16910,word[:3]:AYA
16911,word[:2]:AY
16912,-1:word.lower():dendeng
16913,word[-3:]:HAS
16914,word[:3]:KHA
16915,-1:word.lower():ayam
16916,+1:word.lower():rasa
16917,word.lower():rasa
16918,word[:3]:RAS
16919,+1:word.lower():kriuk
16920,word.lower():kriuk
16921,word[-3:]:IUK
16922,word[-2:]:UK
16923,word[:3]:KRI
16924,-1:word.lower():rasa
16925,+1:word.lower():gurih
16926,word.lower():gurih
16927,word[-3:]:RIH
16928,word[:3]:GUR
16929,-1:word.lower():kriuk
16930,+1:word.lower():bigsize
16931,word.lower():bigsize
16932,word[:3]:BIG
16933,+1:word.lower():pbl724
16934,word.lower():pbl724
16935,word[-3:]:724
16936,word[:3]:PBL
