Word,POS,Label
Phone,NNP,I-TYPE
Case,NNP,I-TYPE
X6S,NNP,B-NAME
Multicolor,NNP,B-COLOR
stelan,NN,B-TYPE
Soft,NNP,B-TYPE
Jacket,NNP,I-TYPE
5.8,NNP,B-DIMENSION
Inch,NNP,I-DIMENSION
Maoo,NNP,B-BRAND
Baby,NNP,B-TYPE
Shoes,NNP,I-TYPE
for,NNP,O
Baby,NNP,B-AGE
GIYO,NNP,B-BRAND
GF-55PTP,NNP,B-NAME
High,NNP,O
Pressure,NNP,O
Steel,NNP,B-MATERIAL
Floor,NNP,B-TYPE
Pump,NNP,I-TYPE
bicycle,FW,B-TYPE
pump,FW,I-TYPE
High,NNP,O
Uno,NNP,B-BRAND
Filling,NNP,B-TYPE
Cabinet,NNP,I-TYPE
Central,NNP,I-TYPE
Lock,NNP,I-TYPE
UFL,NNP,B-NAME
4252,NNP,I-NAME
Gold,NNP,B-COLOR
Series,NNP,O
BAJU,NNP,B-TYPE
HAMIL,NNP,I-TYPE
KATUN,NNP,B-MATERIAL
JBP003B,NNP,O
Pompa,NN,B-TYPE
submersible,FW,I-TYPE
york,FW,B-BRAND
PROMO,NNP,O
SKS,NNP,B-BRAND
Lakban,NNP,B-TYPE
bening,FW,I-TYPE
Hotwheels,NNP,B-BRAND
Pop,NNP,O
Culture,NNP,O
2013,NNP,O
Popeye,NNP,B-THEME
52,NNP,O
Chevy,NNP,O
1:64,CD,B-DIMENSION
BABY,NNP,B-BRAND
Bullet,NNP,I-BRAND
Food,NNP,B-TYPE
Processor,NNP,I-TYPE
BABY,NNP,B-BRAND
BULLET,NNP,I-BRAND
ukir,VB,B-TYPE
satu,CD,I-TYPE
set,NN,I-TYPE
alat,NN,I-TYPE
NATURES,NNP,B-BRAND
PLUS,NNP,I-BRAND
LECITHIN,NNP,B-NAME
Purwaceng,NNP,B-BRAND
Susu,NNP,B-TYPE
Cathy,NNP,B-BRAND
Doll,NNP,I-BRAND
BABY,NNP,B-NAME
BRIGHT,NNP,I-NAME
COLLAGEN,NNP,I-NAME
BODY,NNP,I-NAME
SLEEPING,NNP,I-NAME
MASK,NNP,I-NAME
INTENSE,NNP,I-NAME
LOTION,NNP,I-NAME
150ML,CD,B-DIMENSION
Kemeja,NNP,B-TYPE
Kantor,NNP,I-TYPE
Pria,NNP,B-GENDER
Slim,NNP,O
Fit,NNP,O
SHT,NNP,O
346,CD,O
Mesin,NNP,B-TYPE
Laminating,NNP,I-TYPE
Secure,NNP,B-BRAND
Jaket,NNP,B-TYPE
Parka,NNP,I-TYPE
American,NNP,B-BRAND
Drill,NNP,I-BRAND
Black,NNP,B-COLOR
Detail,NNP,B-TYPE
Cutting,NNP,I-TYPE
Stencil,NNP,I-TYPE
Craft,NNP,B-TYPE
Tools,NNP,I-TYPE
BEST,NNP,O
SELLER,NNP,O
Selai,NNP,B-TYPE
Palleta,NNP,B-BRAND
5kg,CD,B-MASS
TAS,NNP,B-TYPE
BADMINTON,NNP,I-TYPE
FLYPOWER,NNP,B-BRAND
2,CD,B-TYPE
SELETING,NNP,I-TYPE
MODEL,NNP,I-TYPE
SELEMPANG,NNP,I-TYPE
FLASDISK,NNP,B-TYPE
TOSHIBA,NNP,B-BRAND
64GB,CD,O
FLASHDISK,NNP,B-TYPE
TOSHIBA,NNP,B-BRAND
64GB,CD,O
TRANS,NNP,B-TYPE
MEMORY,NNP,I-TYPE
Tas,NNP,B-TYPE
Raket,NNP,I-TYPE
Badminton,NNP,I-TYPE
YONEX,NNP,B-BRAND
ransel,NNP,B-TYPE
JAM,NN,B-TYPE
TANGAN,NNP,I-TYPE
PRIA,NNP,B-GENDER
SWISS,NNP,B-BRAND
ARMY,NNP,I-BRAND
ORIGINAL,NNP,O
DUAL,NNP,O
TIME,NNP,O
STRAP,NNP,O
RUBBER,NNP,O
X-style,NNP,B-BRAND
Red,NNP,B-COLOR
Sariayu,NNP,B-BRAND
Krem,NNP,B-NAME
Masker,NNP,I-NAME
Jerawat,NNP,I-NAME
New,NNP,O
mic,FW,B-TYPE
kabel,FW,I-TYPE
Shennheiser,FW,B-BRAND
e935s,CD,B-NAME
Apple,FW,B-BRAND
iPhone,FW,B-NAME
6,CD,I-NAME
GOLD,NNP,B-COLOR
RAM,NNP,B-RAM
1GB,CD,I-RAM
GROOMER'S,NNP,B-BRAND
BLEND,NNP,I-BRAND
Oatmeal,NNP,B-NAME
Protein,NNP,I-NAME
Shampoo,NNP,I-NAME
17oz,CD,B-DIMENSION
MESIN,NNP,B-TYPE
KABUT,NNP,I-TYPE
MESIN,NNP,B-TYPE
EMBUN,NNP,I-TYPE
HUMIDIFIER,NNP,B-TYPE
WALET,NNP,B-TYPE
HIDROPONIK,NNP,O
KYODO,NNP,B-BRAND
KY3900,NNP,B-NAME
HIGH,NNP,O
QUALITY,NNP,O
Flip,NNP,B-TYPE
Case,NNP,I-TYPE
Nillkin,NNP,B-BRAND
Sparkle,NNP,B-NAME
Series,NNP,I-NAME
4,CD,B-BRAND
Step,FW,I-BRAND
Shape,FW,I-BRAND
Slimming,FW,B-TYPE
Belt,FW,I-TYPE
Korset,FW,B-TYPE
Pelangsing,FW,I-TYPE
Biotin,NNP,B-NAME
7500,CD,I-NAME
mBiotin,NN,B-TYPE
7500mcg,CD,B-MASS
Puritan's,NNP,B-BRAND
Pride,NNP,I-BRAND
Nakamichi,NNP,B-BRAND
My,NNP,B-NAME
Meiryo,NNP,I-NAME
Silver,NNP,B-COLOR
IRNISHOP,NNP,B-BRAND
Sepatu,NNP,B-TYPE
Wanita,NNP,B-GENDER
Hitam,NNP,B-COLOR
Anti,NNP,B-TYPE
Gores,NNP,I-TYPE
Screen,NNP,B-TYPE
Guard,NNP,I-TYPE
Nillkin,NNP,B-BRAND
Anti,NNP,B-TYPE
Glare,NNP,I-TYPE
Protector,NNP,I-TYPE
Samsung,NNP,B-BRAND
On5,NNP,B-NAME
Mini,NN,B-TYPE
portabel,NN,I-TYPE
68,CD,I-TYPE
foto,NN,I-TYPE
Album,NN,B-TYPE
pernikahan,NN,I-TYPE
kalender,NN,B-TYPE
meja,NN,I-TYPE
kantong,NN,O
ulang,VB,O
tahun,NN,O
wisuda,NN,O
Sayang,NN,O
hari,NN,O
Valentine,NNP,B-THEME
hadiah,NN,O
hari,NN,B-THEME
Ibu,NNP,I-THEME
untuk,SC,O
Polaroid,NNP,B-BRAND
7.62,CD,B-SIZE
cm,NND,I-SIZE
gambar,NN,O
kartu,NN,O
bisnis,NN,O
es,NN,O
hitam,JJ,B-COLOR
Internasional,NNP,B-THEME
Balon,NNP,B-TYPE
Foil,NNP,B-MATERIAL
Alfabet,NNP,B-THEME
Huruf,NNP,I-THEME
Angka,NNP,I-THEME
Gold,NNP,B-COLOR
Silver,NNP,B-COLOR
Pink,NNP,B-COLOR
Polkadot,NNP,B-COLOR
DO1,NNP,B-NAME
OREN,NNP,B-COLOR
Flip,NNP,B-TYPE
Cover,NNP,I-TYPE
View,NNP,I-TYPE
Ungu,NNP,B-COLOR
Screenguard,NNP,B-TYPE
Carger,NNP,B-TYPE
SPIGEN,NNP,B-BRAND
SGP,NNP,B-NAME
SLIM,NNP,I-NAME
ARMOR,NNP,I-NAME
Meja,NNP,B-TYPE
Laptop,NNP,I-TYPE
Portable,NNP,I-TYPE
Laptop,NNP,B-TYPE
Desk,NNP,I-TYPE
With,NNP,I-TYPE
Fan,NNP,I-TYPE
Cooler,NNP,I-TYPE
Teh,NNP,B-TYPE
Hijau,NNP,I-TYPE
Seduh,NNP,I-TYPE
Cap,NNP,B-BRAND
Gunung,NNP,I-BRAND
Vivo,NNP,B-BRAND
V5,NNP,B-NAME
Plus,NNP,I-NAME
Limited,NNP,B-NAME
Edition,NNP,I-NAME
senter,FW,B-TYPE
ultrafire,FW,B-BRAND
RST-s15,NNP,B-NAME
Asus,NNP,B-BRAND
Fonepad,NNP,B-NAME
8,NNP,I-NAME
FE380CG,NNP,I-NAME
Dual,NNP,O
Sim/Size,NNP,O
8,NNP,B-DIMENSION
Inch,NNP,I-DIMENSION
16GB,CD,B-CAPACITY
/RAM,NN,O
2GB,CD,B-RAM
/Dual,NN,O
Camera/Garansi,NNP,O
Resmi,NNP,O
Quickdry,NNP,B-TYPE
Sport,NNP,I-TYPE
35,CD,B-DIMENSION
x,NN,I-DIMENSION
80,CD,I-DIMENSION
)/,Z,O
3,CD,O
Warna,NNP,O
Microfiber,NNP,B-MATERIAL
JKHK87,CD,O
Jaket,NNP,B-TYPE
Hello,NNP,B-THEME
Kitty,NNP,I-THEME
Pink,NNP,B-COLOR
Strawberry,NNP,I-COLOR
NOOSY,NNP,B-BRAND
3,CD,O
in,NN,O
1,CD,O
Nano,NNP,B-TYPE
SIM,NNP,I-TYPE
Adapter,NNP,I-TYPE
Genie,FW,O
Shop,FW,O
Denim,FW,B-TYPE
pants,FW,I-TYPE
banhayi,FW,I-TYPE
jeans,FW,B-TYPE
black,FW,B-COLOR
jean,FW,B-TYPE
skinny,FW,O
lovely,FW,O
Chance,FW,O
Autorace,NNP,B-BRAND
Spion,NNP,B-TYPE
Dalam,NNP,I-TYPE
Broadway,NNP,B-NAME
Kaca,NNP,B-TYPE
Tengah,NNP,I-TYPE
Mobil,NNP,I-TYPE
Broadway,NNP,B-NAME
FLAT,NNP,I-NAME
300MM,CD,B-DIMENSION
White,NNP,B-COLOR
dRyshirt,VB,B-BRAND
Sony,NNP,B-BRAND
Lens,NNP,B-TYPE
E,NNP,B-NAME
20mm,NNP,B-DIMENSION
Lensa,NNP,B-TYPE
Kamera,NNP,I-TYPE
hitam,NNP,B-COLOR
T-Shirt,NNP,B-TYPE
TARGARYEN,NNP,B-BRAND
Kaos,NNP,B-TYPE
GOT-030,NNP,B-NAME
mini,NN,B-TYPE
dress,NN,I-TYPE
bahan,NN,O
spandeks,NN,B-MATERIAL
korea,NN,O
pinggang,NN,O
karet,NN,O
Revlon,NNP,B-BRAND
Colorstay,NNP,B-NAME
Ultimate,NNP,I-NAME
Suede,NNP,I-NAME
Lipstick,NNP,B-TYPE
Dompet,NN,B-TYPE
kartu,NN,I-TYPE
aluminium,NN,I-TYPE
Card,NNP,B-TYPE
Caddy,NNP,I-TYPE
MOTIF,NNP,O
Rak,NNP,B-TYPE
Sepatu,NNP,I-TYPE
Rak,NNP,B-TYPE
Tas,NNP,I-TYPE
Rak,NNP,B-TYPE
jilbab,SC,I-TYPE
gantung,VB,I-TYPE
"HJO,HBO,HSO",NNP,O
Karakter,NNP,O
Biru,NNP,B-COLOR
D.Emon,NNP,O
Heels,NNP,B-TYPE
HH208,NNP,O
brukat,NNP,B-MATERIAL
NEW,NNP,O
BRAND!!!,NNP,O
CND,NNP,B-BRAND
Vinylux,NNP,I-BRAND
Sage,NNP,B-COLOR
Scarf,NNP,I-COLOR
WEEKLY,NNP,B-NAME
NAIL,NNP,I-NAME
POLISH,NNP,I-NAME
Sling,NNP,B-TYPE
Bag,NNP,I-TYPE
D-19,NNP,O
Vaseline,NNP,B-BRAND
Lip,NNP,B-NAME
Therapy,NNP,I-NAME
T11,NNP,I-NAME
8678,CD,I-NAME
CELANA,NNP,B-TYPE
JEANS,NNP,I-TYPE
BLUE,NNP,B-COLOR
GARMENT,NNP,O
Baju,NN,B-TYPE
Kaos,NNP,I-TYPE
Katun,NNP,B-MATERIAL
Bali,NNP,B-THEME
Barong,NNP,I-THEME
Kotak,NNP,I-THEME
Adem,NNP,O
Nyaman,NNP,O
kapasitor,NN,B-TYPE
kipas,VB,I-TYPE
angin,NN,I-TYPE
12,CD,B-CAPACITY
400V,CD,I-CAPACITY
AC,NNP,B-TYPE
Kotak,NNP,B-SHAPE
hitam,NNP,B-COLOR
BUMPER,NNP,B-TYPE
GUARD,NNP,I-TYPE
PUTIH,NNP,B-COLOR
Dijual,NNP,O
Keyboard,NNP,B-TYPE
Fashion,NNP,O
Batik,NNP,B-TYPE
Indonesia,NNP,O
Size,NNP,O
Lengkap,NNP,O
M,NNP,B-SIZE
L,NNP,B-SIZE
XL,NNP,B-SIZE
BAT,NNP,O
325,CD,O
for,NN,O
Man,NNP,B-GENDER
Cuka,NNP,B-TYPE
Sari,NNP,I-TYPE
Apel,NNP,I-TYPE
Apple,NNP,B-TYPE
Cider,NNP,I-TYPE
Vinegar,NNP,I-TYPE
BRAGG,NNP,B-BRAND
473ML,CD,B-DIMENSION
Sprei,NNP,B-TYPE
Bonita,NNP,B-BRAND
180,CD,B-DIMENSION
x,NN,I-DIMENSION
200,CD,I-DIMENSION
Doraemon,NNP,B-THEME
Power,NN,B-TYPE
Bank,NNP,I-TYPE
Samsung,NNP,B-BRAND
3600mAh,CD,B-CAPACITY
Model,NNP,O
Tabung,NNP,B-SHAPE
DUOYA,NNP,B-BRAND
Big,NNP,B-NAME
Waterproof,NNP,I-NAME
Mascara,NNP,I-NAME
Maskara,NNP,B-TYPE
ORIGINAL,NNP,O
KOREA,NNP,O
Hardcase,NNP,B-TYPE
Hard,NNP,B-TYPE
Case,NNP,I-TYPE
Nillkin,NNP,B-BRAND
Super,NNP,B-NAME
Frosted,NNP,I-NAME
Shield,NNP,I-NAME
Sepatu,CD,B-TYPE
Anak,NN,B-AGE
>Laki,NN,B-GENDER
Slip,NNP,B-TYPE
On,NNP,I-TYPE
Original,NNP,O
Hitam,NNP,B-COLOR
31,CD,B-SIZE
35,CD,B-SIZE
KOKO,NNP,B-TYPE
PANJANG,NNP,I-TYPE
TEPI,NNP,I-TYPE
SULUR,NNP,I-TYPE
KATUNDOBBY,NNP,B-MATERIAL
Romoss,NNP,B-BRAND
Polymos,NNP,B-NAME
5,CD,I-NAME
5000,CD,B-CAPACITY
mAh,NN,I-CAPACITY
Premium,NNP,O
Powerbank,NNP,B-TYPE
Putih,NNP,B-COLOR
tas,NN,B-TYPE
ransel,NNP,I-TYPE
POLO,NNP,B-BRAND
Baju,NN,B-TYPE
Batik,NNP,I-TYPE
Modern,NNP,O
Assikah,NNP,B-BRAND
BP2617,NNP,O
500,CD,O
cash,FW,B-TYPE
book,FW,I-TYPE
pomade,NN,B-TYPE
lokal,JJ,I-TYPE
oil,JJ,B-MATERIAL
Pie,NNP,B-TYPE
Susu,NNP,I-TYPE
Cap,NNP,B-BRAND
Enak,NNP,I-BRAND
Khas,NNP,O
Asli,NNP,O
"Bali,",NNP,O
Ole,NNP,O
Ole,NNP,O
Bali,NNP,O
Case,NNP,B-TYPE
Samsung,NNP,B-BRAND
T530,NNP,B-NAME
Tab,NNP,B-TYPE
4,CD,O
10,CD,O
Premium,NNP,O
Fashion,NNP,O
Case,NNP,B-TYPE
Murah,NNP,O
20170821,CD,O
GEAR,NNP,B-TYPE
GIR,NNP,O
PAKET,NNP,O
RANTAI,NNP,O
VEGA,NNP,B-NAME
R,NNP,I-NAME
NEW,NNP,O
35T,CD,B-TYPE
15T,CD,B-TYPE
Panel,NNP,B-TYPE
Carbon,NNP,B-MATERIAL
Matix,NNP,B-NAME
Spotec,NNP,B-BRAND
Colombus,NNP,B-NAME
Sepatu,NNP,B-TYPE
Lari,NNP,I-TYPE
Black/Red,NNP,B-COLOR
Memo,NNP,O
Bottle,NNP,O
A5,NNP,B-SIZE
Slim,NNP,O
420ML,CD,B-MASS
Botol,NN,B-TYPE
minum,NN,I-TYPE
transparan,NN,O
botol,NN,O
unik,JJ,O
Pempem,FW,B-TYPE
velcro,FW,I-TYPE
insert,FW,O
Litty,FW,O
Bamboo,FW,O
all,FW,O
size,FW,O
clodi,NN,B-BRAND
popok,NN,B-TYPE
kain,JJ,I-TYPE
cuci,VB,I-TYPE
ulang,VB,I-TYPE
diapers,NN,B-TYPE
newborn,JJ,O
PROMO,NNP,O
KURMA,NNP,B-TYPE
NABI,NNP,I-TYPE
AJWA,NNP,I-TYPE
GOLDEN,NNP,B-BRAND
TAMR,NNP,I-BRAND
IMPORT,NNP,O
Eprint,NNP,B-BRAND
Magnetic,NNP,B-TYPE
Photo,NNP,I-TYPE
Paper,NNP,I-TYPE
A4,NNP,B-SIZE
Oxone,NNP,B-BRAND
Mars,NNP,B-NAME
3,NNP,I-NAME
In,NNP,I-NAME
1,NNP,I-NAME
Rice,NNP,B-TYPE
Cooker,NNP,I-TYPE
ox-816,CD,B-NAME
Philips,NNP,B-BRAND
Blender,NNP,B-TYPE
Philips,NNP,B-BRAND
Tanggo,NNP,B-NAME
2116G,CD,I-NAME
Sprei,NNP,B-TYPE
California,NNP,B-BRAND
motif,NNP,O
NARAYA,NNP,B-THEME
King,NNP,O
Size,NNP,O
180,CD,B-DIMENSION
x,NN,I-DIMENSION
200,CD,I-DIMENSION
cm,NND,I-DIMENSION
Stop,NNP,B-TYPE
Kontak,NNP,I-TYPE
Digital,NNP,I-TYPE
Otomatis,NNP,O
EELIC,NNP,B-BRAND
LED,NNP,B-NAME
E-7W,NNP,I-NAME
Lampu,NNP,B-TYPE
Darurat,NNP,I-TYPE
Pintar,NNP,O
Multifungsi,NNP,O
Dan,NNP,O
SELAI,NNP,B-TYPE
OLESAN,NNP,I-TYPE
IMPORT,NNP,O
Nutella,NNP,B-BRAND
Hazelnut-Cocoa,NNP,B-NAME
Spread,NNP,I-NAME
375g,CD,B-MASS
Paket,NNP,O
Virtual,NNP,B-TYPE
Reality,NNP,I-TYPE
3D,CD,I-TYPE
Glasses,NNP,I-TYPE
VR,NNP,B-NAME
Box,NNP,I-NAME
2,CD,I-NAME
Remote,NNP,O
Bluetooth,NNP,O
Baju,NN,B-TYPE
Batik,NNP,I-TYPE
Pria,NNP,B-GENDER
Modern,NNP,O
0219-15,CD,O
Proclean,NNP,B-BRAND
Lap,NNP,B-TYPE
Kaca,NNP,I-TYPE
Microfiber,NNP,B-MATERIAL
Biru,NNP,B-COLOR
Muda,NNP,I-COLOR
Karpet,NNP,B-TYPE
Spesial,NNP,O
Antena,NNP,B-TYPE
Yagi,NNP,I-TYPE
Txr185,NNP,B-NAME
KALUNG,NNP,B-TYPE
QUANTUM,NNP,B-NAME
PENDANT,NNP,I-NAME
PERMATA,NNP,I-NAME
WALL,NNP,B-TYPE
STICKER,NNP,I-TYPE
SUN,NNP,B-THEME
FLOWER,NNP,I-THEME
Fisheye,NNP,B-TYPE
3in1,NNP,I-TYPE
Jepit,NNP,I-TYPE
VSCPD013A-D,CD,B-NAME
CELANA,NNP,B-TYPE
PENDEK,NNP,I-TYPE
ANak,NNP,B-AGE
Bayi,NNP,B-AGE
usia,NNP,O
6-12,CD,B-AGE
bln,NN,I-AGE
Bulu,NNP,B-TYPE
Mata,NNP,I-TYPE
Palsu,NNP,I-TYPE
Spotec,NNP,B-BRAND
Vega,NNP,B-NAME
Sepatu,NNP,B-TYPE
Badminton,NNP,I-TYPE
Oranye-Biru,NNP,B-COLOR
Tua,NNP,I-COLOR
Flashdisk,NNP,B-TYPE
Toshiba,NNP,B-BRAND
Hayabusa,NNP,B-NAME
8,NNP,B-CAPACITY
GB,NNP,I-CAPACITY
Murah,NNP,O
Botol,NNP,B-TYPE
ASI,NNP,I-TYPE
100,CD,B-DIMENSION
ml,NN,I-DIMENSION
Botol,NNP,B-TYPE
kaca,NNP,I-TYPE
ASIP,NNP,I-TYPE
Cute,NNP,O
Family,NNP,O
Round,NNP,B-SHAPE
Linen,NNP,B-MATERIAL
Lockers,NNP,B-TYPE
Desk,NNP,B-TYPE
Cosmetics,NNP,I-TYPE
Storage,NNP,O
"Classifiers</ENAMEX>,",NNP,O
Laundry,NNP,B-TYPE
Baskets,NNP,I-TYPE
"Offices,",NNP,O
"Bedrooms,",NNP,O
"Closets,",NNP,O
Inglot,NNP,B-BRAND
Halal,NNP,O
O2M,NNP,B-NAME
646,CD,O
ACE,NNP,B-BRAND
Max,NNP,I-BRAND
ekstrak,NNP,B-NAME
DAUN,NNP,I-NAME
SIRSAK,NNP,I-NAME
DAN,NNP,I-NAME
EKSTRAK,NNP,I-NAME
KULIT,NNP,I-NAME
MANGGIS,NNP,I-NAME
Mini,NNP,B-TYPE
LED,NNP,I-TYPE
Projector,NNP,I-TYPE
TV180,NNP,B-NAME
Pas,NNP,O
untuk,SC,O
Presentasi,NN,O
dan,CC,O
Nonton,NNP,O
Film,NNP,O
!!,Z,O
HELLO,NNP,B-THEME
KITTY,NNP,I-THEME
8GB,CD,B-CAPACITY
USB,NNP,B-TYPE
FLASH,NNP,I-TYPE
DISK,NNP,I-TYPE
2.0,CD,I-TYPE
ONEWAY,NNP,B-BRAND
SarungStir,NNP,B-TYPE
-,NNP,I-TYPE
TIPE,NNP,I-TYPE
ECLIPSE,NNP,I-TYPE
Simple,NNP,O
Elegan,NNP,O
Memo,NNP,B-TYPE
Pad,NNP,I-TYPE
Berbentuk,NNP,O
iPhone,NNP,B-TYPE
E-Blue,NNP,B-BRAND
Cobra,NNP,B-NAME
Gaming,NNP,B-TYPE
Headset,NNP,I-TYPE
Type,NNP,B-NAME
H,NNP,I-NAME
Eiffel,NNP,B-THEME
Sky,NNP,I-THEME
Tall,NNP,I-THEME
Notes,NNP,B-TYPE
Travelling,NNP,B-NAME
Magic,NNP,I-NAME
Towel,NNP,I-NAME
Worldwide,NNP,O
Shipping,NNP,O
Nike,NNP,B-BRAND
Air,NNP,B-NAME
Trainer,NNP,I-NAME
NIKE,NNP,B-BRAND
AIR,NNP,B-NAME
TRAINER,NNP,I-NAME
631488,CD,O
001,CD,O
POMPA,NNP,B-TYPE
JET,NNP,B-BRAND
PUMP,NNP,I-BRAND
EFOS,NNP,B-NAME
370,CD,I-NAME
40,CD,O
METER,NN,O
(NON,NN,O
TABUNG),NNP,O
Puma,NNP,B-BRAND
Tsugi,NNP,B-NAME
Netfit,NNP,I-NAME
Running,NNP,B-TYPE
Shoes,NNP,I-TYPE
Puma,NNP,B-BRAND
Black,NNP,B-COLOR
Puma,NNP,B-BRAND
White,NNP,B-COLOR
Boneka,NNP,B-TYPE
Tsum,NNP,B-THEME
Tsum,NNP,I-THEME
Dumbo,NNP,I-THEME
30cm,CD,B-DIMENSION
Casing,NNP,B-TYPE
XiaoMi,NNP,B-BRAND
MiPad,NNP,B-NAME
7.9,CD,I-NAME
Deluxe,NNP,I-NAME
XP79056,NNP,I-NAME
veggie,FW,B-TYPE
twister,FW,I-TYPE
Vegetable,FW,B-TYPE
spiral,FW,I-TYPE
gemuse,FW,I-TYPE
cutter,FW,B-TYPE
sayuran,NN,I-TYPE
Alat,NNP,B-TYPE
Potong,NNP,I-TYPE
Sayuran,NNP,I-TYPE
Jadi,NNP,O
Bentuk,NNP,O
Spiral,NNP,O
INFICLO,NNP,B-NAME
291,CD,I-NAME
OMG!,NNP,O
Tempered,NNP,B-TYPE
Glass,NNP,I-TYPE
Round,NNP,B-SHAPE
Edges,NNP,I-SHAPE
Garansi,NNP,O
3,CD,O
bulan,NN,O
Digital,NNP,B-BRAND
Alliace,NNP,I-BRAND
Gaming,NNP,B-TYPE
Keyboard,NNP,I-TYPE
K8,NNP,B-NAME
iron,NNP,I-NAME
CELANA,NNP,B-TYPE
PENDEK,NNP,I-TYPE
ZARA,NNP,B-BRAND
WOMAN,NNP,B-GENDER
Gamis,NNP,B-TYPE
Busana,NNP,I-TYPE
Muslim,NNP,I-TYPE
Belleza,NNP,B-BRAND
Balotelly,NNP,B-MATERIAL
Pink,NNP,B-COLOR
Mukena,NNP,B-TYPE
Bali,NNP,I-TYPE
Anak,NNP,B-AGE
Hello,NNP,B-THEME
Kitty,NNP,I-THEME
02,CD,O
Zerni,NNP,B-BRAND
water,FW,B-TYPE
filter,FW,I-TYPE
Hegner,NNP,B-BRAND
H5007L,NNP,B-NAME
Jam,NNP,B-TYPE
Tangan,NNP,I-TYPE
wanita,NNP,B-GENDER
Strap,NNP,O
Kulit,NNP,O
Silver,NNP,B-COLOR
Hitam,NNP,B-COLOR
DSPH4,NNP,O
Dress,NNP,B-TYPE
Pooh,NNP,B-THEME
Cute,NNP,O
Face,NNP,O
Jual,NN,O
meja,NN,B-TYPE
belajar,VB,I-TYPE
anak,NN,B-AGE
lipat,VB,B-TYPE
karakter,NN,B-THEME
dengan,IN,B-TYPE
whiteboard,FW,I-TYPE
dan,CC,I-TYPE
kursi,NN,I-TYPE
termurah,NN,O
Murah,NN,O
20170821,CD,O
Dijual,NNP,O
Hario,NNP,B-BRAND
Mizudashi,NNP,B-TYPE
Coffee,NNP,B-TYPE
Pot,NNP,I-TYPE
Red,NNP,B-COLOR
1000ML,CD,B-DIMENSION
MCPN,NN,B-NAME
14,CD,I-NAME
MCPN14,NNP,B-NAME
Murah,NNP,O
20170821,CD,O
SGP,NNP,B-BRAND
Silencer,NNP,B-NAME
FU,NNP,I-NAME
Knalpot,NNP,B-TYPE
Satria,NNP,B-NAME
FU,NNP,I-NAME
150,CD,I-NAME
cc,NND,O
ABON,NNP,B-TYPE
SAPI,NNP,I-TYPE
TOPLES,NNP,O
MERAH,NNP,O
T49938,CD,B-NAME
GMC,NNP,B-BRAND
887G,CD,B-NAME
Multimedia,NNP,B-TYPE
Speaker,NNP,I-TYPE
Speaker,NNP,B-TYPE
Aktif,NNP,I-TYPE
2.1ch,CD,I-TYPE
Free,NNP,O
Size,NNP,O
G-String,NNP,B-TYPE
Tipe,NNP,O
33752,NNP,O
Tali,NNP,O
Samping,NNP,O
BEST,NNP,O
SELLER,NNP,O
TRACKER,NNP,B-TYPE
GYM,NNP,I-TYPE
BAG,NNP,I-TYPE
SIZE,NNP,O
42X25X25,CD,B-DIMENSION
Asus,NN,B-BRAND
A456UR-GA093D,CD,B-NAME
4GB,CD,B-RAM
RAM,NN,O
Ci5-7200U,CD,B-PROCESSOR
"14""",CD,B-DIMENSION
Merah,NNP,B-COLOR
Timex,NNP,B-BRAND
Weekender,NNP,I-BRAND
Fashion,NNP,B-TYPE
Watches,NNP,I-TYPE
Advanced,NNP,B-TYPE
Wrist,NNP,I-TYPE
Watch,NNP,I-TYPE
jam,NNP,B-TYPE
Couple,NNP,B-TYPE
watch,NNP,I-TYPE
kripik,NN,B-TYPE
pisang,NN,I-TYPE
cadas,VB,O
Paket,NN,B-TYPE
usaha,NN,I-TYPE
es,NN,I-TYPE
model,NN,I-TYPE
buah,NN,I-TYPE
murah,JJ,O
BALACLAVA,NNP,B-TYPE
NOLAN,NNP,B-BRAND
LENSA,NNP,B-TYPE
LENSA,NNP,B-TYPE
Cover,FW,B-TYPE
croum,FW,B-MATERIAL
spion,FW,B-TYPE
Cover,FW,B-TYPE
croum,FW,B-MATERIAL
spion,FW,B-TYPE
Samsung,NNP,B-BRAND
Galaxy,NNP,B-NAME
E7,NNP,I-NAME
(E700),CD,I-NAME
RAM,NN,O
2GB,CD,B-RAM
ROM,NN,O
16GB,CD,B-CAPACITY
Bluetooth,NNP,B-NAME
Music,NNP,I-NAME
Receiver,NNP,I-NAME
USB,NNP,I-NAME
Audio,NNP,I-NAME
Dongle,NNP,I-NAME
3.5mm,NNP,B-DIMENSION
Putih,NNP,B-COLOR
Beras,NNP,B-TYPE
Kepala,NNP,I-TYPE
Super,NNP,I-TYPE
"""HOTEL""",NNP,O
5,CD,B-MASS
kg,NND,I-MASS
YAZOLE,NNP,B-BRAND
Classical,NNP,O
Kids,NNP,B-AGE
Leather,NNP,B-MATERIAL
Band,NNP,O
Fashion,NNP,O
Girl,NNP,B-GENDER
Joker,NNP,O
Student,NNP,B-TYPE
Sport,NNP,I-TYPE
Quartz,NNP,I-TYPE
Wrist,NNP,I-TYPE
Watch,NNP,I-TYPE
YZL250-B-,NNP,O
Pink,NNP,B-COLOR
intl,NNP,O
Fashion,NNP,O
Jaket,NNP,B-TYPE
Bola,NNP,I-TYPE
Pria,NNP,B-GENDER
Keren,NNP,O
JBL,NNP,O
631,CD,O
[Deal],NN,O
4in1,CD,O
Auto-bit,FW,B-BRAND
